도로명,색상,도로 길이,시작지점,종착지점,경유 행정구역,좌표데이터
"주촌로","#7777aa","2397m","효빈광역시 서구 당선3동(당선동)","효빈광역시 서구 북성동(북문동1가)","효빈광역시 서구 당선3동(당선동) | 효빈광역시 서구 당선4동(당선동) | 효빈광역시 서구 당선1동(당선동) | 효빈광역시 서구 북성동(북문동1가)","[-26401,16762]; [-26491,16893]; [-27469,16883]; [-27488,16911]; [-27734,17090]; [-28656,17113]"
"송진로","#7777aa","3111m","효빈광역시 서구 당선3동(당선동)","효빈광역시 북구 고송1동(고송동)","효빈광역시 서구 당선3동(당선동) | 효빈광역시 북구 고송1동(고송동) | 효빈광역시 서구 과진7동(과진동)","[-26519,15801]; [-23408,15792]"
"고송해안로","#7777aa","9042m","효빈광역시 서구 청덕3동(청덕동)","효빈광역시 북구 포산동","효빈광역시 서구 청덕3동(청덕동) | 효빈광역시 북구 고송2동(고송동) | 효빈광역시 북구 고송6동(고송동) | 효빈광역시 고송6동(고송동) | 효빈광역시 북구 고송7동(고송동) | 효빈광역시 북구 진희동 | 효빈광역시 북구 포산동 | 효빈광역시 포산동 | 효빈광역시 북구 고송3동(고송동) | 효빈광역시 북구(진희동)","[-23590,14781]; [-23594,17155]; [-23569,18361]; [-23656,18903]; [-23686,19236]; [-23769,19376]; [-23849,19470]; [-23943,19532]; [-23987,20252]; [-23950,21285]; [-23808,21639]; [-23695,22193]; [-23558,22462]; [-23535,22707]; [-23491,22864]; [-23479,23123]; [-23502,23332]; [-23509,23387]; [-23702,23532]"
"토모리로","#7777aa","3164m","효빈광역시 북구 고송1동(고송동)","효빈광역시 북구 고송6동(고송동)","효빈광역시 북구 고송1동(고송동) | 효빈광역시 북구 고송2동(고송동) | 효빈광역시 북구 고송6동(고송동)","[-22084,15692]; [-21983,16003]; [-21997,16156]; [-22155,16213]; [-22557,16778]; [-23097,17423]; [-23422,17867]; [-23552,18277]"
"고송중앙로","#7777aa","2702m","효빈광역시 북구 고송1동(고송동)","효빈광역시 서구 과진3동(과진동)","효빈광역시 북구 고송1동(고송동) | 효빈광역시 서구 과진3동(과진동) | 효빈광역시 북구 고송3동(고송동)","[-22562,16756]; [-25264,16750]"
"칠라로","#7777aa","2684m","효빈광역시 북구 고송3동(고송동)","효빈광역시 서구 과진5동(과진동)","효빈광역시 북구 고송3동(고송동) | 효빈광역시 서구 과진5동(과진동) | 효빈광역시 서구 과진3동(과진동)","[-23708,16309]; [-26392,16326]"
"노현로","#7777aa","9319m","효빈광역시 서구 청덕1동(청덕동)","효빈광역시 북구 청능동(입희동)","효빈광역시 서구 청덕1동(청덕동) | 효빈광역시 서구 과진6동(과진동) | 효빈광역시 서구 당선3동(당선동) | 효빈광역시 북구 소조동 | 효빈광역시 북구 청능동(입선동) | 효빈광역시 북구 청능동(입희동) | 효빈광역시 서구(과진동) | 효빈광역시 서구 당선2동(당선동) | 효빈광역시 북구 청능동","[-25481,13062]; [-25597,13062]; [-26010,13823]; [-26251,14552]; [-26395,15271]; [-26401,17084]; [-26381,18888]; [-26398,20031]; [-26378,22107]"
"앵소로","#7777aa","17054m","효빈광역시 안천구 당가1동(당가동)","효빈광역시 청엽구 등동","효빈광역시 안천구 당가1동(당가동) | 효빈광역시 안천구 뇌전동(세익동) | 효빈광역시 안천구 뇌전동 | 효빈광역시 안천구 뇌전동(치장동) | 효빈광역시 안천구 북택동(하구동) | 효빈광역시 동구 덕현11동(덕현동) | 효빈광역시 동구 덕현5동(덕현동) | 효빈광역시 동구 덕현2동(덕현동) | 효빈광역시 동구 사가당2동(사가당동) | 효빈광역시 청엽구 비마리동(사노동) | 효빈광역시 청엽구 입빈동(효빈동1가) | 효빈광역시 청엽구 입빈동(입동2가) | 효빈광역시 청엽구 등동 | 효빈광역시 안천구 북택동 | 효빈광역시 동구 덕현7동(덕현동) | 효빈광역시 동구 덕현9동(덕현동) | 효빈광역시 청엽구 동리동","[-28236,29788]; [-28724,28560]; [-28740,28068]; [-28848,28020]; [-29084,28020]; [-29332,28016]; [-29328,26320]; [-29288,24616]; [-29260,23568]; [-29290,23333]; [-29767,23311]; [-29947,22878]; [-29947,21975]; [-29969,21564]; [-30424,21004]; [-30559,20863]; [-31708,20870]; [-31693,17392]; [-31693,16884]; [-32410,16907]; [-32455,16824]; [-33283,16810]"
"효빈역전로","#7777aa","4289m","효빈광역시 중구 내조1동(내조동)","효빈광역시 동구 덕현5동(덕현동)","효빈광역시 중구 내조1동(내조동) | 효빈광역시 동구 사가당1동(사가당동) | 효빈광역시 동구 덕현1동(덕현동) | 효빈광역시 동구 덕현3동(덕현동) | 효빈광역시 동구 덕현5동(덕현동) | 효빈광역시 동구 덕현2동(덕현동) | 효빈광역시 동구 전천동","[-29711,19168]; [-29720,20001]; [-29702,20409]; [-29522,20800]; [-29491,20938]; [-29594,21110]; [-29657,21268]; [-29426,22036]; [-29371,22597]; [-29282,23331]"
"역사로","#7777aa","1391m","효빈광역시 북구 사능1동(생곡동)","효빈광역시 동구 사가당1동(사가당동)","효빈광역시 북구 사능1동(생곡동) | 효빈광역시 북구 사능1동(사능동3가) | 효빈광역시 북구 사능1동(치남동) | 효빈광역시 동구(사가당동) | 효빈광역시 동구 사가당1동(사가당동)","[-28386,19953]; [-28807,19905]; [-28963,19899]; [-29354,19977]; [-29635,20106]; [-29707,20180]"
"에이치스코로","#7777aa","1649m","효빈광역시 북구 천왕사동(해서동)","효빈광역시 동구 덕현1동(덕현동)","효빈광역시 북구 천왕사동(해서동) | 효빈광역시 북구 사능1동(생곡동) | 효빈광역시 동구 덕현1동(덕현동)","[-27914,20647]; [-28617,20642]; [-29095,20634]; [-29307,20672]; [-29518,20810]"
"효빈대학로","#7777aa","6359m","효빈광역시 서구 사복1동(사복동)","효빈광역시 동구 사가당1동(사가당동)","효빈광역시 서구 사복1동(사복동) | 효빈광역시 서구 당선2동(당선동) | 효빈광역시 서구 당선1동(당선동) | 효빈광역시 서구 당선4동(칠천동) | 효빈광역시 서구 북성동(내성동2가) | 효빈광역시 북구 사능1동(사능동1가) | 효빈광역시 북구 사능1동(사능동2가) | 효빈광역시 북구 사능1동(사능동3가) | 효빈광역시 북구 사능1동(치남동) | 효빈광역시 동구 사가당1동(사가당동) | 효빈광역시 서구 당선2동(사복동)","[-25261,18019]; [-27065,18022]; [-27625,18043]; [-27947,17928]; [-28171,17788]; [-28280,17764]; [-28550,18010]; [-28659,18398]; [-28677,19383]; [-28811,19859]; [-28981,20038]; [-29378,20311]; [-29641,20456]"
"덕성로","#7777aa","2520m","효빈광역시 중구 신덕동","효빈광역시 동구 덕현2동(덕현동)","효빈광역시 중구 신덕동 | 효빈광역시 동구 사가당1동(사가당동) | 효빈광역시 동구 덕현2동(덕현동)","[-30533,19150]; [-30251,19856]; [-30011,20444]; [-29935,21029]; [-29957,21563]"
"붕우로","#7777aa","6145m","효빈광역시 북구 사능1동(사능동2가)","효빈광역시 청엽구 마잡2동(헌이송동)","효빈광역시 북구 사능1동(사능동2가) | 효빈광역시 청엽구 동리동 | 효빈광역시 청엽구 마잡1동(마잡동) | 효빈광역시 청엽구 마잡2동(마잡동) | 효빈광역시 청엽구 마잡2동(헌이송동) | 효빈광역시 중구 내조2동(내조동)","[-28644,19180]; [-31200,19159]; [-32451,19165]; [-33700,19177]; [-34789,19168]"
"중앙로","#7777aa","13132m","효빈광역시 중구 내조1동(내조동)","효빈광역시 남구 어간3동(어간동)","효빈광역시 중구 내조1동(내조동) | 효빈광역시 중구 조유동(조유동2가) | 효빈광역시 중구 조유동(조유동4가) | 효빈광역시 중구 중앙동(중앙로5가) | 효빈광역시 중구 중앙동(지유동1가) | 효빈광역시 중구 중앙동(창선동3가) | 효빈광역시 중구 약맥동(삼각동) | 효빈광역시 중구 약맥동(일향동) | 효빈광역시 중구 약맥동 | 효빈광역시 중구 고도동(십덕동) | 효빈광역시 남구 월천동 | 효빈광역시 남구 항1동(항동1가) | 효빈광역시 남구 어간3동(운양동) | 효빈광역시 남구 어간3동(어간동) | 효빈광역시 중구 조유동(천석동3가) | 효빈광역시 중구 중앙동(중앙로6가) | 효빈광역시 중구 중앙동(창선동1가) | 효빈광역시 중구 내항동(명일동)","[-29568,19160]; [-29520,18104]; [-29378,17498]; [-29612,17096]; [-29744,16908]; [-30006,16722]; [-30354,16212]; [-30628,15800]; [-30702,15344]; [-30780,15136]; [-30930,13844]; [-30984,13708]; [-31208,13408]; [-31218,12736]; [-31636,12318]; [-32164,11690]; [-32234,11552]; [-32244,9694]; [-32246,6972]"
"성설로","#7777aa","6371m","효빈광역시 중구 내조1동(내조동)","효빈광역시 창전구 동곡동","효빈광역시 중구 내조1동(내조동) | 효빈광역시 북구 사능1동(사능동2가) | 효빈광역시(내조동) | 효빈광역시 사가당1동(사가당동) | 효빈광역시 중구 내조2동(내조동) | 효빈광역시 중구 신덕동 | 효빈광역시 청엽구 동리동 | 효빈광역시 청엽구 마잡2동(마잡동) | 효빈광역시 창전구 동곡동 | 효빈광역시 청엽구 동리동(사노동) | 효빈광역시 청엽구 마잡1동(마잡동)","[-29101,19164]; [-29283,19558]; [-29398,19787]; [-29501,19865]; [-29663,19867]; [-29862,19787]; [-30076,19728]; [-30558,19701]; [-31941,19691]; [-33896,19684]; [-35028,19689]"
"중보로","#7777aa","8226m","효빈광역시 중구 내조2동(내조동)","효빈광역시 중구 내항동(명일동)","효빈광역시 중구 내조2동(내조동) | 효빈광역시 중구 궁영동(궁정동) | 효빈광역시 중구 유내동 | 효빈광역시 중구 유내동(경동) | 효빈광역시 중구 중정동(완동3가) | 효빈광역시 중구 중정동(중보로) | 효빈광역시 중구 중정동(중동3가) | 효빈광역시 중구 중앙동(지유동1가) | 효빈광역시 중구 중앙동(훈동) | 효빈광역시 중구 중앙동(심동1가) | 효빈광역시 중구 고도동(우이동) | 효빈광역시 중구 고도동 | 효빈광역시 중구 내항동 | 효빈광역시 중구 내항동(명일동) | 효빈광역시 중구 신덕동 | 효빈광역시 중구 유내동(리사동) | 효빈광역시 중구 중앙동(심동2가)","[-29900,19751]; [-30031,19558]; [-30226,19135]; [-30260,18623]; [-30363,18109]; [-30357,17746]; [-30400,17592]; [-30447,17393]; [-30151,17446]; [-29993,17468]; [-29988,16615]; [-29958,16169]; [-30188,15719]; [-30393,15346]; [-30413,14021]; [-30411,13453]; [-30533,13026]; [-31015,12851]; [-31206,12739]"
"상서로","#7777aa","1827m","효빈광역시 북구 사능1동(사능동1가)","효빈광역시 중구 유내동(경동)","효빈광역시 북구 사능1동(사능동1가) | 효빈광역시 중구 조유동(조유동5가) | 효빈광역시 중구 중정동(중동2가) | 효빈광역시 중구 유내동(경동) | 효빈광역시 중구 조유동(조유동2가)","[-28585,18116]; [-28868,18002]; [-29942,17879]; [-30323,17761]; [-30362,17746]"
"산업대로","#7777aa","3654m","효빈광역시 중구 중정동(완동3가)","효빈광역시 청엽구 마잡2동(헌이송동)","효빈광역시 중구 중정동(완동3가) | 효빈광역시 청엽구 입빈동(효빈동1가) | 효빈광역시 청엽구 등동 | 효빈광역시 청엽구 마잡2동(헌이송동)","[-30457,17394]; [-32430,17382]; [-32445,17594]; [-33913,17594]"
"효빈공단로","#7777aa","37455m","효빈광역시 남구 어간3동(어간동)","효빈광역시 탄성군 야진읍 원심리","효빈광역시 남구 어간3동(어간동) | 효빈광역시 남구 어간3동(운양동) | 효빈광역시 남구 월천동(박산동) | 효빈광역시 남구 월천동(신흥동) | 효빈광역시 청엽구 입빈동(입동2가) | 효빈광역시 청엽구 입빈동(효빈동2가) | 효빈광역시 청엽구 비마리동(비마동) | 효빈광역시 청엽구 우전2동(우전동) | 효빈광역시 청엽구 우전3동(우전동) | 효빈광역시 창전구 유류동 | 효빈광역시 창전구 창전1동(창전동) | 효빈광역시 창전구 창전3동(창전동) | 효빈광역시 창전구 광정동(생덕동) | 효빈광역시 탄성군 탄성읍 고무리 | 효빈광역시 탄성군 탄성읍 탄성리 | 효빈광역시 탄성군 탄성읍 미성리 | 효빈광역시 탄성군 탄성읍 공리 | 효빈광역시 탄성군 야진읍 야진리 | 효빈광역시 탄성군 야진읍 신리 | 효빈광역시 탄성군 야진읍 미우리 | 효빈광역시 탄성군 야진읍 원심리 | 효빈광역시 청엽구 입빈동(입동1가) | 효빈광역시 청엽구 등동 | 효빈광역시 청엽구 마잡1동(마잡동) | 효빈광역시 청엽구 청엽1동(청엽동) | 효빈광역시 창전구 유류동(창전동) | 효빈광역시 창전구 창전2동(창전동) | 효빈광역시 창전구 창전5동(창전동)","[-32442,7333]; [-32470,10274]; [-32485,12044]; [-32482,13490]; [-32451,14460]; [-32436,14863]; [-32451,16676]; [-32427,18195]; [-32430,20071]; [-32458,22963]; [-32509,23582]; [-32788,23851]; [-33231,24045]; [-33822,24552]; [-34201,25449]; [-34446,25816]; [-35010,26419]; [-35832,27926]; [-36550,27926]; [-36729,28453]; [-37035,28805]; [-37150,29220]; [-37168,29732]; [-37159,32312]; [-37202,33643]; [-37396,34167]; [-37411,34476]; [-37415,34480]; [-37480,34958]; [-37483,36310]; [-37214,36681]; [-37442,36882]; [-37484,37819]; [-37452,39422]; [-36579,41264]; [-36276,41683]; [-36234,41843]; [-36230,42110]"
"운동장로","#7777aa","5739m","효빈광역시 북구 진희동","효빈광역시 동구 덕현3동(덕현동)","효빈광역시 북구 진희동 | 효빈광역시 북구 진희동(입희동) | 효빈광역시 북구 청능동(입희동) | 효빈광역시 북구 오내2동(오내동) | 효빈광역시 동구 전천동 | 효빈광역시 동구 덕현3동(덕현동) | 효빈광역시 북구 오내1동(오내동)","[-23965,21223]; [-24260,21239]; [-24478,21564]; [-25089,21941]; [-25232,21993]; [-26109,22006]; [-26258,22126]; [-27610,22103]; [-28793,22113]; [-29368,22174]"
"뿌리빛로","#7777aa","8154m","효빈광역시 북구 사능1동(치남동)","효빈광역시 안천구 뇌전동","효빈광역시 북구 사능1동(치남동) | 효빈광역시 북구 사능1동(생곡동) | 효빈광역시 동구 전천동 | 효빈광역시 동구 덕현7동(덕현동) | 효빈광역시 북구 채산동(수포동) | 효빈광역시 안천구 뇌전동 | 효빈광역시 북구 사능1동(사능동3가) | 효빈광역시 동구 덕현9동(덕현동) | 효빈광역시 안천구 북택동","[-28828,19926]; [-28572,20264]; [-28718,21960]; [-28663,23396]; [-28718,24969]; [-28666,26951]; [-28711,27984]"
"평전서로","#7777aa","2476m","효빈광역시 북구 채산동(곡진동)","효빈광역시 북구 채산동(신영동)","효빈광역시 북구 채산동(곡진동) | 효빈광역시 북구 채산동(평전동) | 효빈광역시 북구 채산동(신영동)","[-25209,28598]; [-27064,28585]; [-27685,28608]"
"소조로","#7777aa","2714m","효빈광역시 북구 소조동","효빈광역시 북구 사능1동(사능동1가)","효빈광역시 북구 소조동 | 효빈광역시 북구 사능1동(사능동1가)","[-26056,19098]; [-27179,19105]; [-27248,18976]; [-27309,18893]; [-28147,18874]; [-28650,18893]"
"세하로","#7777aa","29696m","효빈광역시 북구 소조동","덕빈북도 선곡군 우목면 우목리","효빈광역시 북구 소조동 | 효빈광역시 북구 사능2동(사능동2가) | 효빈광역시 북구 천왕사동 | 효빈광역시 북구 오내2동(오내동) | 효빈광역시 북구 남전동 | 효빈광역시 북구 채산동(실본동) | 효빈광역시 북구 채산동(신영동) | 효빈광역시 안천구 당가2동(당가동) | 효빈광역시 안천구 악부동(타천동) | 효빈광역시 안천구 이십기동(심회동) | 효빈광역시 안천구 이십기동(리의동) | 효빈광역시 안천구 이자1동(이자동) | 효빈광역시 안천구 이자4동(이자동) | 효빈광역시 안천구 칠채동(융문동) | 효빈광역시 탄성군 고해읍 이와리 | 효빈광역시 탄성군 고해읍 은진원리 | 효빈광역시 탄성군 도향면 벽천리 | 덕빈북도 선곡군 우목면 우목리 | 효빈광역시 북구 천왕사동(해서동) | 효빈광역시 북구 오내1동(오내동) | 효빈광역시 북구 채산동 | 효빈광역시 안천구 이자2동(이자동) | 효빈광역시 안천구 칠채동(월삼동)","[-27215,19124]; [-27266,19427]; [-27399,20814]; [-27592,22367]; [-27569,24550]; [-27573,26829]; [-27748,27799]; [-27725,30169]; [-27739,32765]; [-27743,34240]; [-27762,34773]; [-27799,35247]; [-28125,36248]; [-28212,37006]; [-28240,39129]; [-28345,39331]; [-28327,41739]; [-28341,44248]; [-28327,45980]; [-28341,46440]; [-30055,46417]; [-30597,46430]"
"오선로","#7777aa","4591m","효빈광역시 북구 고송1동(고송동)","효빈광역시 서구 과진6동(과진동)","효빈광역시 북구 고송1동(고송동) | 효빈광역시 서구 청덕3동(청덕동) | 효빈광역시 서구 청덕2동(청덕동) | 효빈광역시 서구 과진6동(과진동) | 효빈광역시 서구 청덕1동(청덕동)","[-22118,15697]; [-22277,15667]; [-22341,15725]; [-22516,15710]; [-22788,15388]; [-22865,15294]; [-23162,15251]; [-23246,15121]; [-23404,14977]; [-23606,14759]; [-24268,14697]; [-26261,14720]"
"도탄로","#7777aa","5445m","효빈광역시 서구 청덕1동(청덕동)","효빈광역시 북구 청능동","효빈광역시 서구 청덕1동(청덕동) | 효빈광역시 서구 과진5동(과진동) | 효빈광역시 서구 사복2동(사복동) | 효빈광역시 북구 청능동 | 효빈광역시 서구 과진6동(과진동) | 효빈광역시 북구 소조동","[-26061,14100]; [-26048,16731]; [-26069,18323]; [-26048,19545]"
"청덕중앙로","#7777aa","620m","효빈광역시 서구 청덕1동(청덕동)","효빈광역시 서구 청덕1동(청덕동)","효빈광역시 서구 청덕1동(청덕동)","[-25302,13676]; [-25922,13680]"
"과진로","#7777aa","6425m","효빈광역시 서구 청덕1동(청덕동)","효빈광역시 북구 청능동","효빈광역시 서구 청덕1동(청덕동) | 효빈광역시 서구 사복1동(사복동) | 효빈광역시 북구 청능동 | 효빈광역시 서구 과진6동(과진동)","[-25617,13120]; [-25617,17741]; [-25615,19030]; [-25685,19346]; [-25780,19512]"
"고송동서로","#7777aa","7349m","효빈광역시 서구 과진3동(과진동)","효빈광역시 북구 포산동","효빈광역시 서구 과진3동(과진동) | 효빈광역시 북구 고송8동(고송동) | 효빈광역시 북구 고송7동(고송동) | 효빈광역시 북구 진희동 | 효빈광역시 북구 진희동(입희동) | 효빈광역시 북구 산고동(추산동) | 효빈광역시 북구 포산동 | 효빈광역시 북구 고송4동(고송동)","[-25108,16416]; [-25102,18454]; [-25102,19806]; [-25115,20866]; [-25114,22611]; [-25106,23501]; [-25123,23764]"
"시청로","#7777aa","2413m","효빈광역시 북구 고송6동(고송동)","효빈광역시 북구 소조동","효빈광역시 북구 고송6동(고송동) | 효빈광역시 북구 고송8동(고송동) | 효빈광역시 북구 소조동 | 효빈광역시 북구 청능동","[-23634,18883]; [-24821,18881]; [-26047,18872]"
