시설물명,종류,인접도로명,이격거리(px),상세주소,위도,경도
"어간수산시장","일반건물","어간로","130","효빈광역시 남구 어간2동(어간동)","-31513","7190"
"해안초","일반건물","중앙로","43","효빈광역시 남구 어간3동(어간동)","-32203","7202"
"고산아파트","일반건물","어천로","239","효빈광역시 남구 어간2동(어간동)","-30929","7217"
"광암아파트","일반건물","곽산동서2로","80","효빈광역시 남구 곽산2동(곽산동)","-39102","7265"
"곽암해수욕장역","지하철역","곽산동서1로","12","효빈광역시 남구 곽산2동(곽산동)","-38713","7275"
"곽산초","일반건물","곽산로","24","효빈광역시 남구 곽산2동(곽산동)","-39363","7323"
"곽암공원","일반건물","곽암로","64","효빈광역시 남구 곽산2동(곽산동)","-38623","7356"
"곽암초","일반건물","곽암로","33","효빈광역시 남구 곽산2동(곽산동)","-38383","7389"
"4호선 평당차량기지","일반건물","해안남북로","175","효빈광역시 남구 평당4동(평당동)","-35941","7453"
"평언중","일반건물","곽암로","84","효빈광역시 남구 곽산1동(곽산동)","-39341","7500"
"명주공원","일반건물","어간로","36","효빈광역시 남구 어간2동(어간동)","-31451","7521"
"부신나아파트","일반건물","곽암로","105","효빈광역시 남구 곽산1동(곽산동)","-39042","7523"
"블라인아파트","일반건물","중앙로","66","효빈광역시 남구 어간3동(어간동)","-32312","7529"
"어간비치아파트","일반건물","해안남북로","88","효빈광역시 남구 어간3동(어간동)","-32618","7552"
"곽암비치아파트","일반건물","곽암로","139","효빈광역시 남구 곽산2동(곽산동)","-38482","7560"
"곽산2동행정복지센터","일반건물","기계산업로","86","효빈광역시 남구 곽산2동(곽산동)","-38121","7584"
"소장아파트","일반건물","중항로","185","효빈광역시 남구 어간2동(어간동)","-30887","7615"
"곽산현대아파트","일반건물","곽산공단로","172","효빈광역시 남구 곽산2동(곽산동)","-37353","7638"
"고관초","일반건물","중항로","94","효빈광역시 남구 어간2동(어간동)","-30732","7707"
"두리안아파트","일반건물","중항로","77","효빈광역시 남구 어간2동(어간동)","-30863","7723"
"해운산업지구역","지하철역","해안남북로","101","효빈광역시 남구 평당4동(평당동)","-35540","7762"
"어간대라수아파트","일반건물","우포로","142","효빈광역시 남구 어간3동(어간동)","-32610","7853"
"한양아이클래스곽산","일반건물","기계산업로","157","효빈광역시 남구 곽산2동(곽산동)","-38372","7863"
"한양수자인곽산아파트","일반건물","곽산동서1로","190","효빈광역시 남구 곽산2동(곽산동)","-38530","7866"
"어간에버빌아파트","일반건물","우포로","105","효빈광역시 남구 어간3동(어간동)","-32858","7877"
"메가박스 항동","일반건물","어천로","57","효빈광역시 남구 항4동(항동1가)","-30673","7891"
"곽산역","지하철역","기지로","67","효빈광역시 남구 곽산2동(곽산동)","-37135","7896"
"지안아파트","일반건물","중항로","103","효빈광역시 남구 어간2동(어간동)","-31476","7900"
"브링아파트","일반건물","중앙로","165","효빈광역시 남구 어간3동(어간동)","-32080","7911"
"브리밍아파트","일반건물","중앙로","165","효빈광역시 남구 어간3동(어간동)","-32080","7911"
"항동3가역","지하철역","어천로","17","효빈광역시 남구 항4동(항동1가)","-30598","7913"
"풍림아이원곽산아파트(2028예정)","일반건물","곽산로","168","효빈광역시 남구 곽산1동(곽산동)","-39488","7917"
"어간고","일반건물","엽월대병원로","54","효빈광역시 남구 어간2동(어간동)","-31264","7951"
"곽산역공원","일반건물","평곡로","79","효빈광역시 남구 곽산2동(곽산동)","-36879","7973"
"평당회산시장","일반건물","기지로","141","효빈광역시 남구 곽산2동(곽산동)","-36629","7988"
"항동엘리아아파트","일반건물","효빈공단로","75","효빈광역시 남구 어간3동(어간동)","-32373","8004"
"두라아파트","일반건물","곽산공단로","192","효빈광역시 남구 곽산2동(곽산동)","-37332","8054"
"곽산인파크아파트","일반건물","회산로","148","효빈광역시 남구 곽산2동(곽산동)","-37065","8125"
"곽산1동행정복지센터","일반건물","곽산로","64","효빈광역시 남구 곽산1동(곽산동)","-38797","8144"
"평당4동행정복지센터","일반건물","평당중앙로","42","효빈광역시 남구 평당4동(평당동)","-35491","8149"
"어간3동행정복지센터","일반건물","중앙로","78","효빈광역시 남구 어간3동(어간동)","-32323","8247"
"평당헤리움아파트","일반건물","평당역로","94","효빈광역시 남구 평당4동(평당동)","-35207","8252"
"회산역","지하철역","평당동서1로","11","효빈광역시 남구 곽산2동(곽산동)","-36438","8313"
"어간항역","지하철역","운양로","131","효빈광역시 남구 어간2동(어간동)","-31752","8330"
"회산역푸르지오","일반건물","평당동서1로","100","효빈광역시 남구 곽산2동(곽산동)","-36548","8334"
"창문공원","일반건물","평당북로","138","효빈광역시 남구 어간3동(어간동)","-33094","8350"
"효빈환경공단","일반건물","해안남북로","54","효빈광역시 남구 평당3동(평당동)","-33916","8350"
"데시안아파트","일반건물","평당동서3로","163","효빈광역시 남구 평당4동(평당동)","-34717","8353"
"곽산우리아파트","일반건물","곽산로","154","효빈광역시 남구 곽산1동(곽산동)","-38895","8362"
"효빈세무서","일반건물","평당남북1로","84","효빈광역시 남구 어간3동(어간동)","-32563","8452"
"이베리안아파트","일반건물","회산로","197","효빈광역시 남구 곽산2동(곽산동)","-37160","8470"
"창문공원역","지하철역","평당남북1로","15","효빈광역시 남구 어간3동(어간동)","-32914","8519"
"주곡역","지하철역","평당남북1로","12","효빈광역시 남구 어간3동(어간동)","-33269","8519"
"세무지구역","지하철역","평당남북1로","12","효빈광역시 남구 어간3동(어간동)","-32610","8524"
"항만해변역","지하철역","평당남북1로","1","효빈광역시 남구 항4동(항동3가)","-30656","8547"
"트레이더스 곽산평당점","일반건물","평당중앙2로","123","효빈광역시 남구 평당7동(평당동)","-36255","8547"
"인스차아파트","일반건물","곽산공단로","92","효빈광역시 남구 곽산2동(곽산동)","-37430","8558"
"곽산더샵아파트(2027.8예정)","일반건물","평당동서1로","117","효빈광역시 남구 곽산2동(곽산동)","-36564","8561"
"산내중","일반건물","평당중앙2로","74","효빈광역시 남구 평당7동(평당동)","-36057","8619"
"어두아파트","일반건물","평당남북1로","92","효빈광역시 남구 어간3동(어간동)","-31753","8633"
"이부역","지하철역","이부로","3","효빈광역시 남구 평당5동(평당동)","-34547","8669"
"효빈예술문화회관","일반건물","평당동서2로","80","효빈광역시 남구 평당4동(평당동)","-35839","8697"
"호르아파트","일반건물","남구청로","147","효빈광역시 남구 평당3동(평당동)","-34255","8717"
"평당노블리안아파트","일반건물","평당중앙로","167","효빈광역시 남구 평당4동(평당동)","-35281","8746"
"북평단역","지하철역","고성로","7","효빈광역시 남구 평당3동(평당동)","-33691","8750"
"곽산중","일반건물","평곡로","18","효빈광역시 남구 곽산1동(곽산동)","-36817","8763"
"삼선초","일반건물","평당중앙로","132","효빈광역시 남구 평당4동(평당동)","-35580","8768"
"곽산하브아파트","일반건물","곽산공단로","89","효빈광역시 남구 곽산1동(곽산동)","-37433","8834"
"월홍초","일반건물","엽월대병원로","65","효빈광역시 남구 항4동(항동3가)","-31249","8835"
"곽산고","일반건물","남당로","96","효빈광역시 남구 곽산1동(곽산동)","-36598","8862"
"효빈의료원","일반건물","남당로","95","효빈광역시 남구 어간3동(어간동)","-32077","8867"
"더파크곽산아파트(2030예정)","일반건물","남당로","87","효빈광역시 남구 곽산1동(곽산동)","-37160","8870"
"평당3동행정복지센터","일반건물","남구청로","43","효빈광역시 남구 평당3동(평당동)","-34065","8872"
"안부아파트","일반건물","남당로","74","효빈광역시 남구 항4동(항동1가)","-31747","8889"
"항만해변","일반건물","효빈항로","114","효빈광역시 남구 항4동(항동3가)","-30452","8905"
"항만해변전망대","일반건물","효빈항로","114","효빈광역시 남구 항4동(항동3가)","-30452","8905"
"맥도날드 곽산DT","일반건물","남당로","43","효빈광역시 남구 평당7동(평당동)","-36060","8915"
"배고역","지하철역","효빈공단로","2","효빈광역시 남구 평당1동","-32459","8921"
"남당역","지하철역","남당로","6","효빈광역시 남구 평당7동(평당동)","-35893","8953"
"곽산고역","지하철역","남당로","5","효빈광역시 남구 평당7동(곽산동)","-36624","8953"
"우리나아파트","일반건물","남당로","56","효빈광역시 남구 항4동(항동1가)","-31410","9019"
"선찬초","일반건물","남당로","67","효빈광역시 남구 어간3동(어간동)","-32382","9029"
"롯데마트 평당점","일반건물","평당중앙로","80","효빈광역시 남구 평당5동(평당동)","-35368","9046"
"어신중","일반건물","남당로","99","효빈광역시 남구 평당5동(평당동)","-34980","9058"
"어간중","일반건물","중앙로","61","효빈광역시 남구 어간3동(어간동)","-32183","9071"
"곽산대라수아파트","일반건물","남당로","117","효빈광역시 남구 평당7동(평당동)","-37130","9074"
"데포리에아파트","일반건물","남당로","136","효빈광역시 남구 어간3동(어간동)","-32043","9098"
"효빈남중","일반건물","운양로","42","효빈광역시 남구 항4동(항동1가)","-31848","9142"
"평안초","일반건물","어간로","29","효빈광역시 남구 항4동(항동1가)","-31661","9147"
"평당하브아파트","일반건물","평당중앙2로","107","효빈광역시 남구 평당7동(평당동)","-36237","9156"
"평당장애인복지관역","지하철역","고성로","1","효빈광역시 남구 평당3동(평당동)","-33685","9168"
"평당중앙하이츠아파트","일반건물","고성로","202","효빈광역시 남구 평당3동(평당동)","-33888","9173"
"평당양우내안에아파트1단지","일반건물","평당동서2로","77","효빈광역시 남구 평당7동(평당동)","-35835","9173"
"평당트루엘아파트","일반건물","청련로","104","효빈광역시 남구 평당1동(평당동)","-33062","9183"
"롯데시네마 평당","일반건물","평당중앙로","90","효빈광역시 남구 평당5동(평당동)","-35357","9183"
"평당흥한웰가아파트","일반건물","문화로","57","효빈광역시 남구 평당7동(평당동)","-36025","9186"
"평당유탑유블레스아파트","일반건물","효빈공단로","121","효빈광역시 남구 평당1동(평당동)","-32581","9204"
"롯데백화점 평당점","일반건물","평당역로","58","효빈광역시 남구 평당5동(평당동)","-35171","9214"
"항동펠리페아파트","일반건물","엽월대병원로","115","효빈광역시 남구 항4동(항동3가)","-31428","9238"
"평당도뮤토아파트","일반건물","평당관통로","147","효빈광역시 남구 평당3동(평당동)","-34363","9244"
"산홍역","지하철역","효빈항로","89","효빈광역시 남구 항4동(항동3가)","-30934","9253"
"평당하나리움아파트","일반건물","이부로","153","효빈광역시 남구 평당5동(평당동)","-34700","9255"
"평당1동행정복지센터","일반건물","청련로","94","효빈광역시 남구 평당1동(평당동)","-32864","9276"
"곽산기계산단","일반건물","기계산업로","253","효빈광역시 남구 곽산1동(곽산동)","-37954","9292"
"운양이편한세상아파트(2029예정)","일반건물","운양로","131","효빈광역시 남구 어간3동(운양동)","-32022","9315"
"평당5동행정복지센터","일반건물","평당역로","74","효빈광역시 남구 평당5동(평당동)","-35039","9316"
"문화회관역","지하철역","효빈공단로","5","효빈광역시 남구 어간3동(평당동)","-32456","9355"
"효빈기계공고","일반건물","곽산공단로","76","효빈광역시 남구 곽산1동(곽산동)","-37444","9362"
"남서아파트","일반건물","평당동서2로","155","효빈광역시 남구 평당7동(평당동)","-35603","9363"
"평당한진스카이뷰아파트1단지","일반건물","평곡로","180","효빈광역시 남구 평당7동(평당동)","-36978","9379"
"평당역","지하철역","평당역로","33","효빈광역시 남구 평당5동(평당동)","-35146","9382"
"남효빈우체국","일반건물","평당동서3로","47","효빈광역시 남구 평당5동(평당동)","-34919","9411"
"평당해모로아파트","일반건물","평당동서1로","126","효빈광역시 남구 평당7동(평당동)","-36569","9450"
"평당양우내안에아파트2단지","일반건물","평당중앙2로","150","효빈광역시 남구 평당7동(평당동)","-36279","9505"
"항4동행정복지센터","일반건물","엽월대병원로","36","효빈광역시 남구 항4동(항동3가)","-31347","9508"
"항4동 행정복지센터","일반건물","엽월대병원로","36","효빈광역시 남구 항4동(항동3가)","-31347","9508"
"평당파크사이드","일반건물","평당북로","208","효빈광역시 남구 평당2동(평당동)","-33444","9552"
"평당라비다아파트","일반건물","청련로","112","효빈광역시 남구 평당2동(평당동)","-33072","9561"
"평당라바다 아파트","일반건물","청련로","112","효빈광역시 남구 평당2동(평당동)","-33072","9561"
"평당스위첸아파트","일반건물","우포로","82","효빈광역시 남구 평당1동(평당동)","-32843","9568"
"평당제일아파트","일반건물","평당역로","97","효빈광역시 남구 평당5동(평당동)","-35210","9569"
"상원대초","일반건물","고성로","103","효빈광역시 남구 평당3동(평당동)","-33791","9596"
"간자초","일반건물","평당역로","73","효빈광역시 남구 평당5동(평당동)","-35040","9600"
"평당한진스카이뷰2단지","일반건물","평곡로","150","효빈광역시 남구 평당7동(평당동)","-36948","9640"
"운양역푸르지오아파트","일반건물","운양로","165","효빈광역시 남구 항4동(항동1가)","-32059","9642"
"평당풍림아이원아파트","일반건물","평당중앙로","132","효빈광역시 남구 평당7동(평당동)","-35579","9642"
"주오역","지하철역","고성로","8","효빈광역시 남구 평당3동(평당동)","-33680","9647"
"평당우미린아파트","일반건물","효빈공단로","101","효빈광역시 남구 평당1동(평당동)","-32565","9663"
"효빈남부경찰서","일반건물","남구청로","66","효빈광역시 남구 평당3동(평당동)","-34042","9709"
"소진아파트","일반건물","평당대로","164","효빈광역시 남구 평당5동(평당동)","-34286","9711"
"평당중앙공원","일반건물","평당대로","92","효빈광역시 남구 평당5동(평당동)","-34737","9782"
"운양역","지하철역","운양로","14","효빈광역시 남구 항4동(항동1가)","-31881","9792"
"남구청역","지하철역","평당대로","11","효빈광역시 남구 평당3동(평당동)","-33891","9865"
"신거역","지하철역","평당대로","13","효빈광역시 남구 어간3동(운양동)","-32451","9866"
"KFC 평당점","일반건물","평당대로","25","효빈광역시 남구 평당5동(평당동)","-34602","9899"
"남부소방서역","지하철역","평당동서1로","17","효빈광역시 남구 평당7동(평당동)","-36424","9899"
"버거킹 평당점","일반건물","평당역로","34","효빈광역시 남구 평당5동(평당동)","-35147","9923"
"신거초","일반건물","평당대로","50","효빈광역시 남구 어간3동(운양동)","-32374","9929"
"한국주택금융공사 효빈지사","일반건물","이부로","76","효빈광역시 남구 평당6동(평당동)","-34475","9953"
"효빈항역행복주택","일반건물","평당대로","74","효빈광역시 남구 항4동(항동3가)","-31512","9954"
"운양초","일반건물","운양로","77","효빈광역시 남구 항4동(항동1가)","-31820","9960"
"남구민광장","일반건물","우포로","71","효빈광역시 남구 평당1동(평당동)","-32834","9980"
"효빈남부소방서","일반건물","평당동서1로","61","효빈광역시 남구 평당7동(평당동)","-36379","9985"
"평당7동행정복지센터","일반건물","평당대로","123","효빈광역시 남구 평당7동(평당동)","-36281","9994"
"CGV 평당","일반건물","고성로","17","효빈광역시 남구 평당2동(평당동)","-33707","9995"
"평당블루힐스아파트","일반건물","남구청로","102","효빈광역시 남구 평당6동(평당동)","-34210","10001"
"효천고","일반건물","평당대로","132","효빈광역시 남구 평당1동(평당동)","-32627","10010"
"남구청","일반건물","평당관통로","52","효빈광역시 남구 평당2동(평당동)","-33851","10020"
"평당자이3단지","일반건물","평당대로","147","효빈광역시 남구 평당7동(평당동)","-35606","10020"
"벨라치오아파트","일반건물","어간로","96","효빈광역시 남구 항4동(항동1가)","-31718","10075"
"평당이음아파트","일반건물","청련로","99","효빈광역시 남구 평당2동(평당동)","-33062","10078"
"효빈헤센아파트","일반건물","운양로","163","효빈광역시 남구 항4동(항동1가)","-32061","10083"
"남구보건소","일반건물","평당관통로","13","효빈광역시 남구 평당2동(평당동)","-33717","10132"
"평당자이1단지","일반건물","평당동서2로","57","효빈광역시 남구 평당7동(평당동)","-35814","10136"
"사북내역","지하철역","남구청로","5","효빈광역시 남구 평당6동(평당동)","-34113","10138"
"효빈항역","지하철역","효빈항로","5","효빈광역시 남구 항4동(항동3가)","-31319","10144"
"이편한세상평당아파트","일반건물","고성로","206","효빈광역시 남구 평당2동(평당동)","-33484","10144"
"신거아파트","일반건물","중앙로","99","효빈광역시 남구 어간3동(운양동)","-32341","10151"
"대한상공회의소 효빈인력개발원","일반건물","평당관통로","90","효빈광역시 남구 평당2동(평당동)","-33824","10152"
"평당동 92-12번지 일원아파트(예정)","일반건물","기계산업로","123","효빈광역시 남구 평당7동(평당동)","-36981","10170"
"평당코아루아파트","일반건물","평당역로","126","효빈광역시 남구 평당5동(평당동)","-35239","10178"
"평남초","일반건물","이부로","147","효빈광역시 남구 평당6동(평당동)","-34406","10194"
"평당2동행정복지센터","일반건물","평당북로","59","효빈광역시 남구 평당2동(평당동)","-33180","10205"
"평당초","일반건물","평당동서2로","77","효빈광역시 남구 평당7동(평당동)","-35834","10243"
"평당자이2단지","일반건물","문화로","55","효빈광역시 남구 평당7동(평당동)","-36033","10263"
"평당필하우스2단지","일반건물","이부로","124","효빈광역시 남구 평당6동(평당동)","-34677","10273"
"평산초","일반건물","평당중앙로","127","효빈광역시 남구 평당7동(평당동)","-35573","10287"
"평당필하우스1단지","일반건물","평당동서3로","96","효빈광역시 남구 평당5동(평당동)","-34962","10307"
"평당중해마루힐아파트","일반건물","남구청로","160","효빈광역시 남구 평당6동(평당동)","-34268","10318"
"평당휴먼빌아파트","일반건물","고성로","146","효빈광역시 남구 평당2동(평당동)","-33837","10339"
"은화학교","일반건물","중앙로","91","효빈광역시 남구 항1동(항동1가)","-32149","10348"
"평운역","지하철역","효빈공단로","21","효빈광역시 남구 어간3동(운양동)","-32450","10369"
"효빈블렌하임아파트(2029예정)","일반건물","어간로","86","효빈광역시 남구 항1동(항동1가)","-31710","10381"
"평당 블루아아파트","일반건물","효빈공단로","92","효빈광역시 남구 평당1동(평당동)","-32563","10386"
"평당디아채아파트","일반건물","우포로","59","효빈광역시 남구 평당2동(평당동)","-32824","10391"
"평당지젤아파트","일반건물","중앙로","80","효빈광역시 남구 어간3동(운양동)","-32320","10418"
"선산중","일반건물","운양로","69","효빈광역시 남구 항1동(항동1가)","-31970","10458"
"버거킹 항동점","일반건물","효빈항로","74","효빈광역시 남구 항1동(항동1가)","-31426","10461"
"효빈중부교육지원청","일반건물","중앙로","104","효빈광역시 남구 항1동(항동1가)","-32136","10477"
"평당빌리브아파트","일반건물","청련로","105","효빈광역시 남구 평당2동(평당동)","-33070","10489"
"평당자이4단지","일반건물","평당중앙로","138","효빈광역시 남구 평당7동(평당동)","-35584","10516"
"한국해양물류발전협회","일반건물","효빈항로","185","효빈광역시 남구 항1동(항동1가)","-31173","10540"
"능사초","일반건물","평당중앙2로","111","효빈광역시 남구 평당7동(평당동)","-36238","10571"
"효빈 남구선관위","일반건물","평당역로","88","효빈광역시 남구 평당6동(평당동)","-35025","10572"
"효빈과학대학교","일반건물","곽산로","115","효빈광역시 남구 평당6동(평당동)","-34420","10576"
"평당고","일반건물","곽산로","89","효빈광역시 남구 평당6동(평당동)","-34213","10602"
"평당중","일반건물","곽산로","76","효빈광역시 남구 고당동(평당동)","-33480","10615"
"맥도날드 평당DT","일반건물","곽산로","52","효빈광역시 남구 평당2동(평당동)","-33908","10639"
"평당고역","지하철역","남구청로","5","효빈광역시 남구 평당2동(평당동)","-34113","10645"
"해양환경공단 효빈지사","일반건물","효빈항로","237","효빈광역시 남구 항1동(항동1가)","-31132","10673"
